"nom","annee","groupe","temp_RF_moy","pr_RF_total","neige_pct","gels_RF_total","SMOD_dayofyear","nb_jours_neige_printemps","nb_jours_neige_avril","nb_jours_neige_mai","NDSI_moy_printemps","NDSI_max_printemps","premier_jour_sans_neige","nb_episodes_printemps","pct_donnees_valides","soil_temp_upper_moy","soil_moisture_moy","swe_max","snow_depth_max","etp_total","humidity_moy","solar_radiation_moy","wind_speed_moy","SOD_modis","SMOD_modis","SCD","duree_saison","continuite","NDSI_moy_modis","NDSI_max_modis","NDSI_med","jour_pic_NDSI","vitesse_fonte","nb_redoux","LFD_nival"
"CADI_POP2",2006,"Autres sites",5.3339900361005,597.572031765457,30.0694444444444,95.6987237988689,103,3,3,0,50.3,55,104,2,32.8,12.8084931506849,0.225232876712329,72.3,0.382,1018,66.2293150684932,1455.78602739726,2.3558904109589,100,247,10,148,0.0675675675675676,68.7,85,70,230,0.235732009925553,3,280
"CADI_POP2",2007,"Autres sites",5.0135155182967,593.21658196776,11.9885125767479,98.5628427166243,125,6,5,1,73.2,85,129,4,26.2,11.8443835616438,0.216569863013699,20.7,0.137,1013.8,66.5939726027397,1508.59178082192,2.36657534246575,113,239,8,127,0.062992125984252,67.625,84,67,237,NA,5,315
"CADI_POP2",2008,"Autres sites",4.3320124573064,918.337531391539,22.5925925925926,106.606757211596,117,2,2,0,67.5,84,95,2,19.7,11.5546448087432,0.233786885245902,21,0.124,926,70.3360655737705,1435.0218579235,2.36092896174863,70,246,59,177,0.333333333333333,73.864406779661,90,77,147,0.202295514511873,3,326
"CADI_POP2",2009,"Autres sites",5.01748723677225,793.296195958671,37.8547378547378,105.132529701136,124,7,5,2,75.7,87,126,6,26.2,12.3416438356164,0.236756164383562,61.2,0.334,1009.3,68.4482191780822,1468.52575342466,2.45452054794521,53,223,42,171,0.245614035087719,69.0714285714286,85,69,118,0.0453322257562212,3,322
"CADI_POP2",2010,"Autres sites",3.71500929175327,849.85349918317,32.7380952380952,116.883494372231,101,3,3,0,53,54,117,2,23,10.7627397260274,0.2378,50.8,0.346,933.7,69.9093150684932,1436.32739726027,2.44876712328767,94,213,21,120,0.175,71.9047619047619,91,73,201,0.266666666666664,3,328
"CADI_POP2",2011,"Autres sites",5.52634906300537,732.686986836312,13.0239898989899,93.3615446268408,91,1,1,0,88,88,95,0,39.3,12.8295890410959,0.244287671232877,7,0.049,1014.3,68.4545205479452,1494.88082191781,2.25835616438356,205,230,9,26,0.346153846153846,75.6666666666667,88,76,207,0.567688378033205,0,323
"CADI_POP2",2012,"Autres sites",4.98330987219612,655.433638471713,10.5072463768116,98.8902138600546,108,3,3,0,70.7,82,130,2,23,12.4008196721311,0.240431693989071,33.1,0.199,1065.2,64.7215846994536,1486.47923497268,2.49617486338798,124,267,29,144,0.201388888888889,69,88,72,197,0.409028977953346,6,327
"CADI_POP2",2013,"Autres sites",4.32213778979168,802.25720662717,36.2202380952381,107.174626230433,145,9,7,2,60.1,80,114,6,26.2,11.6641095890411,0.255621917808219,80.3,0.411,953.3,68.9739726027397,1402.56136986301,2.54246575342466,81,222,42,142,0.295774647887324,67.0476190476191,84,68,216,5.39285714285716,3,301
"CADI_POP2",2014,"Autres sites",5.21126784001724,974.957463210863,31.1237373737374,92.7944538347605,100,3,3,0,66.3,84,103,3,39.3,12.0446575342466,0.255564383561644,46.1,0.146,934.9,69.5419178082192,1386.01726027397,2.41452054794521,67,208,15,142,0.105633802816901,65.9333333333333,87,70,208,NA,4,313
"CADI_POP2",2015,"Autres sites",5.41273722435174,793.330365208865,8.26719576719576,92.5512752126294,86,0,0,0,NA,0,92,0,49.2,12.4786301369863,0.249550684931507,78.1,0.372,1023.7,65.5150684931507,1467.83835616438,2.15506849315068,134,222,22,89,0.247191011235955,68.5909090909091,91,69.5,220,NA,1,299
"CADI_POP2",2016,"Autres sites",4.02087169071468,798.936008259333,29.7916666666667,108.03513116002,100,3,3,0,82,91,109,2,29.5,11.9095628415301,0.243948087431694,19,0.116,950.4,68.9844262295082,1409.95300546448,2.15355191256831,85,240,52,156,0.333333333333333,74.4038461538462,92,78,174,0.137270723451153,2,320
"CADI_POP2",2017,"Autres sites",5.30591321504823,738.367806417194,30.2940115440115,95.4659491803575,118,2,2,0,69.5,75,100,2,41.7,12.2501369863014,0.23507397260274,39,0.213,1002,65.8142465753425,1487.04273972603,2.1241095890411,104,244,49,141,0.347517730496454,75,93,76,229,2.66463414634147,1,306
"CADI_POP2",2018,"Autres sites",4.87629164274853,1116.79422236329,47.0535714285714,101.549488201333,122,10,9,1,80.2,93,131,6,19.7,11.572602739726,0.256134246575342,31.4,0.124,902.3,70.5249315068493,1360.95917808219,1.88876712328767,60,224,19,165,0.115151515151515,69,88,69,72,0.00400304579571415,2,326
"CADI_POP2",2019,"Autres sites",4.95165760930911,740.397842722093,19.5271164021164,96.6135073131962,102,1,1,0,80,80,118,1,21.3,12.1501369863014,0.247194520547945,44.8,0.255,1019.8,63.9608219178082,1503.19424657534,1.99232876712329,64,218,45,155,0.290322580645161,66.8222222222222,88,70,154,0.361313693886344,5,286
"CADI_POP2",2020,"Autres sites",4.9603727789002,833.003868095331,28.7912489557226,93.3742000151567,96,3,3,0,70.7,82,106,1,27.9,12.3486338797814,0.26581693989071,39.5,0.172,925.5,69.2232240437158,1371.44371584699,1.75628415300546,66,224,25,159,0.157232704402516,67.76,87,68,91,0.00963222278041296,6,318
"CADI_POP2",2021,"Autres sites",4.40039950555382,616.654162792763,18.1260868760869,103.990302180814,102,1,1,0,76,76,91,1,34.4,11.6460273972603,0.241331506849315,73.2,0.378,898.3,68.6005479452055,1390.81671232877,1.71835616438356,89,220,17,132,0.128787878787879,68.3529411764706,89,69,206,1.56658291457283,3,NA
"CADI_POP3",2000,"Autres sites",4.7259256672776,721.313471065101,27.0995670995671,91.0481627520243,115,5,5,0,56.8,63,108,4,21.7,11.9434426229508,0.253472677595628,28.2,0.137,961.3,66.9781420765027,1512.80519125683,2.11475409836066,65,213,37,149,0.248322147651007,59.0810810810811,89,54,157,0.288400758533502,8,317
"CADI_POP3",2001,"Autres sites",4.66339136618379,658.050989133089,34.5199938949939,87.1952001758828,91,1,1,0,49,49,97,0,32.8,11.7213698630137,0.24272602739726,49.4,0.255,966.4,67.3021917808219,1543.78931506849,2.15424657534247,81,255,38,175,0.217142857142857,63.0263157894737,82,63.5,86,0.0476488119287204,8,324
"CADI_POP3",2002,"Autres sites",4.35764190138074,818.782232616458,36.6098484848485,92.4227706945718,133,9,7,2,62.2,78,91,7,35,11.381095890411,0.254071232876712,56.2,0.185,882,70.6013698630137,1442.88082191781,2.01698630136986,93,244,52,152,0.342105263157895,66.1730769230769,87,67.5,122,0.16677321400032,1,285
"CADI_POP3",2003,"Autres sites",4.99357189606918,833.284545478542,47.2222222222222,93.3822088437884,122,7,6,1,59.6,72,117,4,26.2,12.0939726027397,0.248597260273973,189.6,0.81,963.1,70.1394520547945,1494.70493150685,2.06712328767123,53,260,51,208,0.245192307692308,68.1176470588235,89,67,107,0.0357058392238321,5,270
"CADI_POP3",2004,"Autres sites",4.36631789675223,721.863913800089,47.3913817663818,101.475934787848,138,10,7,3,67.9,84,134,6,24.6,11.2666666666667,0.251833333333333,52.3,0.294,920.3,69.4896174863388,1468.38907103825,2.00409836065574,69,260,41,192,0.213541666666667,61.8292682926829,85,60,102,0.16576819904092,10,317
"CADI_POP3",2005,"Autres sites",4.45471401913418,628.420105890189,41.1645299145299,101.104019704583,138,3,2,1,55.7,69,91,3,41,11.1282191780822,0.23947397260274,129.8,0.581,953.3,66.5920547945205,1473.60547945205,2.15068493150685,76,231,44,156,0.282051282051282,69.5227272727273,87,73.5,156,0.218540205014554,2,288
"CADI_POP3",2006,"Autres sites",5.45319046004893,571.700375724276,32.8703703703704,88.0523251479695,109,6,6,0,61,74,94,4,41,12.8084931506849,0.225232876712329,72.3,0.382,1018,66.2293150684932,1455.78602739726,2.3558904109589,99,250,18,152,0.118421052631579,56.7222222222222,72,56,230,0.165714285714282,9,278
"CADI_POP3",2007,"Autres sites",4.99245291774431,594.263414332672,19.2045454545455,85.3828824578424,128,8,6,2,58.2,72,109,7,31.1,11.8443835616438,0.216569863013699,20.7,0.137,1013.8,66.5939726027397,1508.59178082192,2.36657534246575,102,242,35,141,0.24822695035461,60.5142857142857,83,60,134,0.0360227606180066,7,313
"CADI_POP3",2008,"Autres sites",4.32170668337515,852.917615005364,42.9181929181929,99.6265113283943,120,10,10,0,61.8,82,98,4,31.1,11.5546448087432,0.233786885245902,21,0.124,926,70.3360655737705,1435.0218579235,2.36092896174863,70,248,64,179,0.357541899441341,66.40625,85,68,161,0.0764600818621574,4,326
"CADI_POP3",2009,"Autres sites",5.00546496450157,791.017012406113,40.5952380952381,96.394540820216,126,10,6,4,65.4,79,95,6,32.8,12.3416438356164,0.236756164383562,61.2,0.334,1009.3,68.4482191780822,1468.52575342466,2.45452054794521,72,302,43,231,0.186147186147186,64.5348837209302,85,66,118,0.182523424397874,9,321
"CADI_POP3",2010,"Autres sites",3.73507451600222,829.675374869574,42.9050925925926,107.387867198319,180,6,5,1,52.5,67,96,5,31.1,10.7627397260274,0.2378,50.8,0.346,933.7,69.9093150684932,1436.32739726027,2.44876712328767,63,220,31,158,0.19620253164557,61.258064516129,80,62,93,0.0756037721383113,5,296
"CADI_POP3",2011,"Autres sites",5.40179192017754,720.715655653605,29.8786181139122,90.7385277212421,98,5,5,0,58,73,96,2,47.5,12.8295890410959,0.244287671232877,7,0.049,1014.3,68.4545205479452,1494.88082191781,2.25835616438356,80,230,14,151,0.0927152317880795,62.6428571428571,79,65.5,209,0.82795156407669,1,278
"CADI_POP3",2012,"Autres sites",5.20353735136172,641.789715796241,20.2923976608187,91.2434214895857,108,4,4,0,59,66,131,2,24.6,12.4008196721311,0.240431693989071,33.1,0.199,1065.2,64.7215846994536,1486.47923497268,2.49617486338798,62,268,50,207,0.241545893719807,58.84,86,58,147,0.0175290644380245,9,287
"CADI_POP3",2013,"Autres sites",4.19565330311968,792.244703813316,45.7585354460354,96.1844139853215,146,11,8,3,59,66,107,8,34.4,11.6641095890411,0.255621917808219,80.3,0.411,953.3,68.9739726027397,1402.56136986301,2.54246575342466,76,222,47,147,0.319727891156463,65.1063829787234,87,65,81,0.0971757397874745,4,300
